snapshot_date,path,count,uniques,path,title,snapshot_date,collected_at
2026-04-28,/LibreYOLO/libreyolo,1157,520,/LibreYOLO/libreyolo,Overview,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/issues,279,73,/LibreYOLO/libreyolo/issues,/issues,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/issues/84,42,13,/LibreYOLO/libreyolo/issues/84,/issues/84,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/pull/72,41,11,/LibreYOLO/libreyolo/pull/72,/pull/72,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/pulls,146,38,/LibreYOLO/libreyolo/pulls,/pulls,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/stargazers,48,3,/LibreYOLO/libreyolo/stargazers,/stargazers,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/tree/main,46,27,/LibreYOLO/libreyolo/tree/main,/tree/main,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/tree/main/libreyolo,140,78,/LibreYOLO/libreyolo/tree/main/libreyolo,/tree/main/libreyolo,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/tree/main/libreyolo/models,64,40,/LibreYOLO/libreyolo/tree/main/libreyolo/models,/tree/main/libreyolo/models,2026-04-28,2026-04-28T19:19:54.191965+00:00
2026-04-28,/LibreYOLO/libreyolo/tree/main/weights,65,44,/LibreYOLO/libreyolo/tree/main/weights,/tree/main/weights,2026-04-28,2026-04-28T19:19:54.191965+00:00
